COMPANY,JOB TITLE,DESCRIPTION,LINK,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
,,,,,,,,,,,,,,,,,
Capital One,DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=a0990a53d870a9aa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Glow Networks,Blue Planet Junior Developer,You will design and develop customer driven applications using Ciena’s Blue Planet development platform.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=c7c4e916a44a9fab,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Plasma Computing Group,JR. Java Developer,Work together with other developers to produce optimal outcomes.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=efe5c89cdbcb3dab,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Abalta Technologies, Inc",SDK Release Engineer,Write release notes compiled from developer comments in GIT and Jira.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=cd790c98d6ee473b,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Gokronos,Software Developer,Basic understanding of software development principles.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=705fee590f462ee4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UT Southwestern,Computer Programmer Assistant - Neurosurgery (Part Time),"This position will be part-time, and is open to both students and postgrads.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=98e12ebdd28b8109,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CBRE,Software Engineer Intern,We are looking for full stack engineering interns in Summer 2021 to help our D&T teams expand their existing platforms and develop new features and products.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=d15e5a50c143e152,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Zen3,Hadoop Developer,"Expertise in HDFS, MapReduce, Hive, Sqoop, Zookeeper, Oozie and Hadoop ecosystem.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=798605c1038d2496,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Palni,Software Developer,Interact frequently with the business and other functional teams to integrate knowledge of the business requirements and functional priorities.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=6a9ecac25b4bb6cb,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
AriesConsultancy Services Inc,Java Developer,"Must have Java 8, Node and Python, AWS is a PLUS.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=3f3eb772f8a0be87,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LOCKHEED MARTIN CORPORATION,Software Engineering Intern,This role is for a Software Engineer.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=6ebac9e1cfc65926,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NTT DATA Services,Entry-level Developer,We are seeking candidates who are flexible to travel and/or relocate to various geographic locations in the United States to meet our business and client needs…,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=01b6ba3ce9d679af,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HRK Solutions,PHP Python Engineer,"Technical Savvy in PHP, Python , Java Script (primarily in PHP/Python) Area.",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=382a4872a306d9d0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unique Software Development,Mechanical/Electrical/Software Engineering Intern,USD is seeking two to three (2-3) Mechanical/Electrical/Software Engineering Interns to work directly with our product development and operations teams.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=78cc9643c07ce93d,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RocketCyber,C/C++ Developer,Lead the endpoint component design and development for RocketCyber’s cloud product including:,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=9831b8ad59d43f41,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
rewardStyle,Sr Backend Engineer (Revenue),"New languages, frameworks, and platforms (golang, python, docker, spark, AWS).",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=d4014d92244cb137,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Texas Instruments,Information Technology Intern,Analysts partner with business and project stakeholders to see where process issues intersect with IT systems and develop solutions.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=9d4c1f2eb8e444b0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Numero Solutions,"Software Developer, Systems Software","Technology Skills: Apache Maven; Microsoft PowerShell; Ruby; Verilog,C++; jQuery; Microsoft ActiveX; Python, Defect tracking software; Fault testing software;…",https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=c9825b48e0877467,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cox-Little & Company,Python Developer Wanted (REMOTE),I have a client that is looking for a Python Developer for a long term contract role.,https://www.indeed.com/jobs?q=python%20developer&l=Dallas%2C%20TX&radius=50&explvl=entry_level&start=0&limit=50&vjk=f150825d3b1cb97f,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
